# P	count	tag	form	lemma	
0.1	11516	ADP	_	_	
0.09	10989	ADJ	_	_	
0.24	28651	NOUN	_	_	
0.04	4754	PROPN	_	_	
0.18	21386	PUNCT	_	_	
0.11	12964	VERB	_	_	
0.02	2691	NUM	_	_	
0.04	4156	CCONJ	_	_	
0.05	5847	ADV	_	_	
0.03	3475	PART	_	_	
0.02	2755	DET	_	_	
0.01	889	AUX	_	_	
0.0	194	_	_	_	
0.04	5022	PRON	_	_	
0.0	31	X	_	_	
0.02	2048	SCONJ	_	_	
0.0	144	SYM	_	_	
0.0	11	INTJ	_	_	
1.0	3625	ADP	в	в	
1.0	6	ADJ	советский	советский	
1.0	18	NOUN	период	период	
1.0	54	NOUN	времени	время	
1.0	13	NOUN	число	число	
1.0	12	PROPN	ит	ИТ	
1.0	1942	PUNCT	-	-	
1.0	23	NOUN	специалистов	специалист	
1.0	49	PROPN	армении	Армения	
1.0	1	VERB	составляло	составлять	
1.0	54	ADP	около	около	
1.0	8	NUM	десяти	десять	
1.0	53	NOUN	тысяч	тысяча	
1.0	6015	PUNCT	.	.	
1.0	1	VERB	доставшийся	достаться	
1.0	3	NOUN	наследство	наследство	
1.0	345	ADP	от	от	
1.0	5	ADJ	советского	советский	
1.0	2	NOUN	периода	период	
1.0	1	ADJ	промышленный	промышленный	
0.85	3156	CCONJ	и	и	
1.0	2	ADJ	интеллектуальный	интеллектуальный	
1.0	5	NOUN	потенциал	потенциал	
1.0	17	VERB	оказался	оказаться	
1.0	1	NOUN	благом	благо	
1.0	1	NOUN	горем	горе	
0.98	65	NOUN	страны	страна	
0.99	1124	ADP	с	с	
0.79	48	NUM	одной	один	
1.0	44	NOUN	стороны	сторона	
1.0	9122	PUNCT	,	,	
1.0	1	VERB	квалифицированные	квалифицировать	
1.0	3	NOUN	кадры	кадр	
1.0	1	VERB	развитая	развить	
1.0	1	ADJ	производственная	производственный	
1.0	2	NOUN	инфраструктура	инфраструктура	
1.0	7	ADV	резко	резко	
1.0	1	VERB	отличали	отличать	
1.0	3	PROPN	армению	Армения	
1.0	45	ADJ	других	другой	
1.0	6	NOUN	регионов	регион	
1.0	22	PROPN	ссср	СССР	
1.0	93	ADV	где	где	
1.0	1	VERB	доминировали	доминировать	
1.0	1	VERB	добывающие	добывать	
1.0	7	NOUN	отрасли	отрасль	
1.0	631	CCONJ	а	а	
1.0	13	NOUN	экономика	экономика	
1.0	1	VERB	строилась	строить	
1.0	1638	ADP	на	на	
1.0	1	NOUN	поставке	поставка	
1.0	1	ADJ	сырьевых	сырьевой	
1.0	3	NOUN	ресурсов	ресурс	
1.0	49	ADJ	другой	другой	
1.0	1	VERB	оставшись	остаться	
1.0	88	ADP	без	без	
1.0	4	NOUN	сырья	сырье	
1.0	412	ADP	для	для	
1.0	2	ADJ	промышленных	промышленный	
1.0	11	NOUN	предприятий	предприятие	
1.0	1	NOUN	энергоресурсов	энергоресурс	
1.0	1	NOUN	рынков	рынок	
1.0	1	NOUN	сбыта	сбыт	
1.0	8	NOUN	продукции	продукция	
1.0	1	ADJ	конкурентоспособной	конкурентоспособный	
1.0	211	PART	только	только	
1.0	2	ADJ	постсоветском	постсоветский	
1.0	3	NOUN	пространстве	пространство	
1.0	15	PROPN	армения	Армения	
1.0	22	ADV	быстро	быстро	
1.0	1	VERB	потеряла	терять	
1.0	9	NOUN	темпы	темп	
1.0	31	DET	своего	свой	
1.0	4	ADJ	экономического	экономический	
0.96	25	NOUN	развития	развитие	
1.0	14	NOUN	помощь	помощь	
1.0	72	DET	этой	этот	
1.0	33	NOUN	стране	страна	
1.0	27	ADV	обычно	обычно	
1.0	5	VERB	поступает	поступать	
1.0	1	ADV	извне	извне	
1.0	2	PROPN	запад	Запад	
1.0	105	ADP	во	во	
1.0	8	NOUN	главе	глава	
1.0	48	PROPN	сша	США	
1.0	3	ADV	регулярно	регулярно	
1.0	1	VERB	выделяет	выделять	
1.0	1	ADJ	значительные	значительный	
1.0	8	NOUN	суммы	сумма	
1.0	1	NOUN	улучшения	улучшение	
1.0	5	NOUN	положения	положение	
1.0	1358	PART	не	не	
1.0	21	ADJ	последнее	последний	
1.0	29	NOUN	место	место	
1.0	2363	PUNCT	"	"	
1.0	1	NOUN	выбивании	выбивание	
1.0	16	NOUN	кредитов	кредит	
1.0	7	VERB	играет	играть	
1.0	4	ADJ	армянская	армянский	
1.0	1	NOUN	диаспора	диаспора	
0.8	5	ADJ	развитых	развитый	
1.0	13	NOUN	странах	страна	
1.0	1	NOUN	вехи	веха	
1.0	2	ADJ	культурного	культурный	
1.0	1	NOUN	судьба	судьба	
1.0	4	ADJ	восточной	восточный	
0.99	96	ADP	со	с	
1.0	38	ADJ	второй	второй	
1.0	4	NOUN	половины	половина	
1.0	8	NUM	xix	xix	
1.0	37	NOUN	века	век	
1.0	2	VERB	находилась	находиться	
1.0	2	NOUN	русле	русло	
1.0	1	ADJ	единых	единый	
1.0	1	NOUN	судеб	судьба	
1.0	7	NOUN	народов	народ	
1.0	22	ADJ	российской	российский	
1.0	8	NOUN	империи	империя	
1.0	1	PROPN	ереванской	Ереванский	
1.0	5	NOUN	губернии	губерния	
1.0	1	VERB	росло	расти	
1.0	7	NOUN	жителей	житель	
1.0	639	ADP	по	по	
1.0	12	NOUN	данным	данные	
1.0	3	NOUN	переписи	перепись	
1.0	4	NUM	1897	1897	
1.0	253	NOUN	года	год	
1.0	61	ADV	здесь	здесь	
1.0	2	VERB	проживало	проживать	
1.0	1	NUM	830	830	
1.0	79	NOUN	человек	человек	
1.0	7	NOUN	городах	город	
1.0	1	VERB	открывались	открываться	
1.0	22	NOUN	школы	школа	
1.0	4	VERB	появлялись	появляться	
1.0	2	ADJ	промышленные	промышленный	
1.0	8	NOUN	предприятия	предприятие	
0.99	147	ADP	после	после	
1.0	7	NOUN	окончания	окончание	
1.0	8	NOUN	строительства	строительство	
1.0	1	ADJ	железной	железный	
1.0	3	NOUN	дороги	дорога	
1.0	1	PROPN	баку	Баку	
1.0	3	PROPN	тбилиси	Тбилиси	
1.0	1	PROPN	батуми	Батуми	
